dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,nzd0557-0042,nzd0557-0043,nzd0557-0044
2015-03-14 22:20:23.206000,L8,320.12,306.95,293.49,285.63,281.31,274.98,268.95,261.34,261.33,256.73,250.97,248.06,251.76,254.61,252.32,257.25,263.49,258.47,247.97,241.00,229.88,221.24,222.62,226.50,229.63,233.52,241.25,251.73,249.81,232.38,217.65,208.86,201.86,201.01,201.31,201.38,174.25,146.52,,,142.57,150.11,182.14,193.98,207.02,195.84,208.88,163.04,180.04,174.53
2015-03-14 22:20:47.169000,L8,322.11,307.85,295.18,287.19,282.45,276.12,269.76,262.28,262.93,258.16,251.97,249.59,252.57,256.10,253.23,258.30,264.73,259.91,249.37,242.37,231.18,222.70,224.06,227.81,230.70,235.11,242.17,252.68,250.56,233.78,218.61,209.83,202.95,201.66,202.03,202.51,175.50,147.19,,,142.86,150.19,182.15,193.66,204.27,195.26,207.54,163.36,180.07,176.11
2015-08-21 22:20:33.210000,L8,316.11,304.52,289.98,284.98,282.88,276.09,270.68,262.88,261.58,257.63,251.75,248.52,251.28,254.06,250.03,255.93,263.02,259.82,247.94,239.90,231.64,226.01,226.87,227.96,228.52,231.41,242.30,253.65,249.75,229.97,212.05,205.12,201.09,198.35,195.47,197.23,173.74,160.54,,,146.10,154.99,192.24,209.74,208.20,194.77,213.58,165.85,173.38,183.41
2015-08-21 22:20:57.178000,L8,306.27,220.03,217.39,208.79,272.05,244.35,238.33,251.59,245.05,228.62,189.15,202.04,183.15,184.30,191.71,193.86,209.37,216.35,202.26,188.46,193.20,151.50,148.54,174.36,185.90,192.02,177.58,216.24,224.73,212.33,189.93,181.62,184.10,179.34,173.13,175.83,,,,,,,,,,,,,,
2016-03-16 22:20:36.438000,L8,343.09,342.59,335.29,330.40,318.63,309.76,275.58,266.69,266.94,264.31,270.73,294.62,305.62,301.73,302.76,301.69,304.32,295.94,281.37,266.03,269.63,273.44,269.82,264.70,266.79,259.64,261.41,281.17,278.36,271.27,265.55,251.85,241.44,236.67,235.47,238.59,213.69,186.42,148.17,167.62,177.47,187.17,212.27,226.85,232.38,215.51,221.70,192.63,191.41,200.21
2016-07-06 22:20:41.229000,L8,304.76,219.37,266.63,261.55,197.57,237.62,232.91,201.75,194.54,193.25,184.06,197.18,176.29,175.88,174.62,200.12,205.20,211.12,214.70,184.05,189.28,150.45,141.46,171.91,184.21,188.40,179.45,213.47,213.47,201.21,,,,,,,,,,,,,,,,,,,,
2016-07-06 22:21:05.197000,L8,305.91,224.22,273.36,267.82,256.38,244.30,239.82,214.16,200.53,216.46,190.30,207.53,181.51,182.62,192.34,206.86,212.26,221.03,217.22,189.40,192.74,168.49,148.52,174.96,191.84,195.91,189.07,218.66,217.63,207.29,,,,,,,,,,,,,,164.98,175.29,163.11,168.39,,,
2016-09-08 22:21:00.541000,L8,320.00,307.64,297.68,288.14,277.56,271.39,266.06,257.32,250.88,249.27,252.57,251.14,252.10,255.63,253.50,256.69,261.93,257.70,248.86,239.64,230.32,226.52,224.93,226.54,228.37,231.39,240.75,242.48,237.97,229.72,213.50,202.38,201.45,198.77,198.38,197.71,186.29,153.02,,,149.16,158.95,182.73,209.06,217.10,202.80,222.16,167.65,171.19,174.65
2016-11-11 22:21:31.069000,L8,303.54,277.94,274.34,,,,,,,,,186.08,167.70,169.35,163.41,147.24,241.05,240.08,229.48,218.30,205.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:20:50.623000,L8,317.10,304.41,290.99,282.05,271.70,262.22,256.13,251.62,248.46,246.93,250.92,248.28,250.23,250.91,253.48,269.92,290.43,266.34,249.83,240.65,229.87,220.41,220.62,224.36,231.17,238.73,282.87,235.86,238.27,228.80,216.14,212.25,202.53,,,,,,,,,,167.12,182.64,193.51,186.21,207.34,,,159.56
2017-04-04 22:20:20.280000,L8,,,455.38,440.01,427.58,424.90,438.75,,,,520.78,479.25,422.81,416.05,432.00,445.14,445.03,426.98,399.02,368.14,459.71,,,331.35,417.66,475.64,338.89,375.18,455.86,508.57,,442.21,418.43,359.50,416.16,402.03,366.28,311.75,210.07,200.48,289.01,316.82,322.05,338.13,323.08,230.74,237.34,305.95,298.13,294.38
2017-04-04 22:20:44.243000,L8,,,460.02,442.38,429.74,425.38,436.87,,,,,483.75,424.43,417.73,433.81,446.57,447.01,430.09,401.77,369.64,452.56,,,331.89,401.14,476.73,365.54,373.99,452.87,506.55,,443.39,424.94,360.41,417.31,402.82,369.73,310.87,209.73,200.30,202.88,206.37,319.11,335.02,322.04,228.25,235.33,212.25,218.53,290.42
