dates,satname,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0007,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0023,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028
2011-04-13 22:01:34.017000,L5,380.95,326.13,359.85,319.31,307.38,302.00,304.75,309.22,312.79,295.80,290.62,319.24,313.06,316.74,326.50,336.46,336.74,331.93,323.68,327.29,330.62,327.85,330.85,312.37,318.20,322.69,315.12,315.23,322.60
2013-05-20 22:13:50.559000,L8,241.09,324.18,318.50,276.24,300.62,256.57,262.30,271.56,278.20,262.44,287.89,315.34,304.09,300.25,317.78,305.17,310.58,309.89,307.77,306.10,313.35,316.08,322.29,310.73,314.00,309.51,307.56,314.08,321.06
2013-06-05 22:13:51.261000,L8,244.19,330.05,322.78,284.09,301.92,295.15,265.24,274.61,314.71,264.62,288.66,317.10,310.63,308.60,321.36,308.59,310.67,308.69,308.78,306.51,314.52,318.22,328.35,311.89,317.30,313.42,311.62,319.09,323.65
2013-06-21 22:13:43.313000,L8,428.56,470.54,398.75,308.39,305.64,307.45,268.89,277.58,315.92,269.96,288.65,323.19,314.68,312.84,321.71,311.96,310.65,309.45,309.98,308.99,317.75,320.28,325.92,314.38,318.83,314.52,313.43,318.20,324.18
2013-07-07 22:13:48.209000,L8,242.74,326.79,317.84,309.16,304.85,304.21,266.87,272.74,312.75,264.44,289.25,314.64,308.46,301.25,323.82,307.81,309.09,309.23,310.31,307.93,312.86,315.15,324.02,312.33,314.12,313.02,310.28,315.09,322.42
2013-09-09 22:13:49.699000,L8,,229.45,295.37,243.79,229.19,181.05,218.13,236.69,272.03,249.32,240.44,299.67,301.73,266.81,,,201.78,299.48,298.32,294.42,298.71,308.94,316.30,307.73,306.59,305.37,,,
2013-09-25 22:13:41.239000,L8,356.47,306.37,322.66,291.49,310.51,266.65,269.45,275.30,293.75,265.74,282.13,291.69,268.92,316.49,411.10,299.64,308.23,301.63,178.59,304.56,311.76,318.41,321.73,315.21,314.56,315.76,311.85,314.95,322.54
2013-10-11 22:13:41.596000,L8,240.97,324.27,318.35,287.73,310.74,306.24,268.35,278.12,291.46,257.35,289.09,317.39,310.81,304.75,321.11,308.66,312.88,310.93,312.70,308.22,312.98,318.50,319.74,313.37,314.59,312.01,307.98,315.52,321.56
2013-10-27 22:13:31.854000,L8,400.44,407.12,326.15,379.61,317.46,310.20,313.72,313.84,320.41,276.12,294.40,328.73,316.29,312.82,329.85,315.64,316.90,314.69,315.63,311.80,318.06,320.92,324.12,317.26,318.16,315.95,310.83,319.84,325.10
2013-11-12 22:13:32.202000,L8,414.51,465.73,318.10,288.05,307.82,268.45,264.72,275.29,294.88,256.36,287.78,314.80,304.83,305.61,319.60,309.20,311.72,311.08,312.32,306.20,311.43,316.76,318.35,311.85,312.67,309.75,306.79,313.72,318.26
2013-11-28 22:13:25.971000,L8,410.85,333.20,324.33,305.93,307.72,289.35,284.90,282.21,295.79,275.57,291.83,323.87,313.84,311.13,327.78,315.45,315.69,314.18,315.89,310.26,315.43,313.50,316.38,306.03,307.28,303.48,312.22,204.15,244.90
2013-12-14 22:13:21.591000,L8,312.85,321.01,318.47,286.36,279.33,257.88,260.33,268.95,278.34,252.65,285.93,313.18,302.03,303.04,319.73,306.55,310.48,309.48,312.06,305.40,310.69,316.52,319.35,311.00,313.76,309.01,305.93,313.00,319.10
2014-01-31 22:12:52.806000,L8,341.40,314.12,314.87,277.45,273.31,256.31,262.79,269.02,276.69,251.68,283.78,309.01,298.73,296.69,313.22,303.41,307.09,305.24,308.44,302.47,304.72,315.67,318.87,311.73,314.42,310.52,305.08,310.78,315.59
2014-02-16 22:12:38.819000,L8,321.64,362.87,347.91,282.40,,,,,360.86,344.79,329.41,327.77,282.34,291.87,335.33,328.06,319.44,317.18,340.47,309.49,322.23,325.18,330.08,319.98,324.84,315.90,312.09,316.30,324.58
2014-03-20 22:12:13.789000,L8,240.46,318.45,318.41,276.51,298.67,255.93,264.11,269.13,276.16,259.48,284.54,315.51,301.48,298.59,316.38,303.30,307.25,306.82,309.73,302.35,307.80,313.51,317.18,308.28,315.42,310.15,309.85,309.26,318.04
2014-04-05 22:11:58.702000,L8,352.05,376.12,358.58,342.16,335.57,329.17,336.78,348.86,352.22,352.88,360.24,364.04,349.58,353.80,337.68,339.59,341.34,337.03,332.92,331.36,341.23,350.73,336.48,334.60,332.80,335.55,332.88,344.99,347.19
2014-05-23 22:11:18.694000,L8,443.14,475.38,401.41,322.80,318.26,312.35,313.38,318.67,324.70,328.70,333.56,351.20,336.98,348.48,346.48,341.47,340.85,333.81,339.12,334.95,331.08,329.70,338.12,334.23,355.12,328.13,323.66,325.08,242.72
2014-07-26 22:11:43.162000,L8,356.35,322.33,311.43,271.61,306.87,304.17,266.74,271.11,316.02,258.39,289.02,316.51,307.15,299.94,322.52,306.83,310.23,309.25,309.28,305.65,313.40,316.41,322.93,312.18,313.01,305.88,296.88,309.93,315.76
2014-08-11 22:11:51.972000,L8,222.58,287.21,268.10,266.92,261.54,251.34,244.79,245.91,251.87,214.80,241.07,276.17,259.44,265.70,265.95,275.44,272.90,226.77,,,,,,,,,,,
2014-10-14 22:12:02.705000,L8,239.00,305.73,263.44,277.00,299.59,304.73,299.68,266.86,278.66,249.41,279.96,309.08,305.32,298.77,311.11,305.13,307.27,306.67,309.85,306.04,307.28,311.96,319.08,309.29,310.92,307.20,299.12,309.48,253.01
2014-10-30 22:11:58.859000,L8,367.63,337.72,340.38,322.27,333.04,319.01,320.75,317.60,332.42,358.64,347.88,363.76,329.86,322.08,333.90,326.46,322.25,321.17,318.10,316.18,319.21,320.86,326.01,317.79,317.69,315.12,308.50,320.51,240.39
2014-12-01 22:12:00.318000,L8,439.81,332.81,323.03,310.05,313.69,309.20,310.15,297.81,316.62,275.69,290.93,321.85,317.56,313.03,326.09,313.55,314.00,313.91,315.46,303.93,317.13,319.74,322.57,314.29,315.18,312.66,307.67,317.54,323.00
2015-04-24 22:11:08.401000,L8,333.44,325.58,315.65,275.62,301.20,256.24,264.88,261.63,280.66,260.21,281.96,313.05,299.25,289.32,307.18,303.00,307.49,306.60,306.23,301.67,304.17,309.85,314.87,307.28,311.09,307.92,304.82,308.16,317.38
2015-05-10 22:10:52.487000,L8,240.82,324.63,317.28,274.00,299.47,258.26,265.02,271.26,276.27,256.65,286.57,311.53,301.65,297.74,311.67,304.32,307.76,307.40,308.65,302.74,305.67,311.68,318.60,307.43,312.81,307.91,307.17,306.95,320.01
2015-06-27 22:11:10.298000,L8,223.46,330.62,329.79,309.38,308.67,306.84,304.58,311.62,315.88,272.23,289.26,319.13,304.59,300.99,318.16,316.11,312.94,310.12,309.42,307.31,314.49,314.13,317.78,310.37,317.73,312.43,308.70,317.28,322.20
2015-07-29 22:11:25.856000,L8,356.30,437.34,327.21,312.57,312.21,311.91,309.47,314.78,317.95,271.88,290.11,321.50,323.14,317.47,324.58,316.39,315.19,311.57,313.63,309.46,318.95,323.83,330.72,319.62,321.79,320.43,316.78,320.77,326.47
2015-12-20 22:11:57.501000,L8,423.32,368.31,330.82,315.31,310.96,308.43,310.48,315.17,319.05,304.82,323.10,325.20,322.61,318.35,329.33,320.05,318.55,317.89,316.28,311.25,317.39,320.73,321.49,316.52,321.12,316.71,313.02,318.27,324.30
2016-02-22 22:11:42.580000,L8,360.17,326.54,319.85,277.68,304.40,286.90,300.58,273.73,280.09,266.77,287.27,312.92,304.76,302.10,316.59,309.15,310.24,309.12,311.29,304.59,309.06,315.05,317.72,310.21,313.29,309.86,305.57,312.36,321.51
2016-03-09 22:11:40.902000,L8,243.46,335.16,317.06,280.94,305.78,307.36,302.23,275.78,280.80,260.23,288.64,313.36,307.69,305.32,317.85,309.64,310.45,310.45,312.59,304.77,309.72,313.16,318.16,308.90,314.31,312.34,307.79,312.76,322.22
2016-03-25 22:11:32.353000,L8,308.48,325.25,315.90,275.31,317.86,286.69,294.92,274.03,278.31,265.60,285.59,313.18,302.18,296.12,306.17,303.30,306.01,306.56,308.65,302.93,305.13,314.09,316.42,310.42,318.28,307.14,304.16,309.98,317.76
2016-04-26 22:11:21.230000,L8,508.91,457.85,394.25,319.43,311.39,302.34,351.53,406.21,467.70,400.40,357.18,336.02,476.68,330.84,327.34,325.31,319.49,315.91,315.92,312.83,320.23,321.50,324.52,316.65,320.79,318.73,313.59,316.48,327.28
2016-05-12 22:11:20.683000,L8,244.29,334.00,323.70,309.58,307.88,306.31,306.90,314.50,317.36,273.89,290.50,318.96,307.36,306.87,317.74,311.53,311.23,310.91,310.68,306.74,314.21,316.82,320.10,313.25,314.75,313.55,311.72,315.11,324.23
2016-06-29 22:11:39.087000,L8,322.69,350.66,342.22,318.22,318.77,315.50,322.13,322.33,320.85,267.28,322.01,331.40,334.15,323.32,328.78,324.38,321.19,319.60,314.22,308.03,317.71,325.34,317.18,309.26,309.43,297.38,305.04,314.76,252.28
2016-08-16 22:11:53.694000,L8,357.34,330.35,324.24,309.65,309.55,307.40,309.86,296.55,318.07,313.55,292.57,319.08,313.71,305.45,318.40,310.86,306.75,307.93,306.55,305.27,315.42,321.57,330.12,313.94,317.96,312.64,310.26,316.75,324.80
2016-11-20 22:12:09.409000,L8,383.00,333.73,327.98,309.90,311.16,306.93,312.74,308.85,319.37,278.03,290.96,319.34,311.92,311.65,326.48,317.65,315.53,314.61,314.38,312.25,317.03,319.26,322.65,313.03,314.08,312.36,309.71,316.98,323.84
2017-06-16 22:11:31.847000,L8,248.97,337.98,332.16,314.98,311.43,309.55,314.08,319.61,322.45,276.05,291.85,328.54,322.39,317.28,321.48,322.67,317.20,316.05,316.77,311.60,321.93,325.86,328.42,317.21,323.05,319.68,315.64,322.02,328.16
2017-07-18 22:11:40.412000,L8,421.99,441.08,326.75,312.76,309.51,309.16,310.03,329.65,279.85,268.28,288.97,317.91,303.55,314.59,318.00,309.15,307.97,308.85,311.68,307.26,317.69,323.20,328.57,314.81,316.29,310.70,309.55,314.47,320.30
2017-08-03 22:11:47.949000,L8,490.28,443.87,414.26,369.67,350.37,356.45,352.20,355.64,366.67,363.71,365.87,367.61,370.71,370.33,365.76,371.51,361.97,361.67,356.07,355.82,357.11,358.44,347.86,355.33,349.55,340.00,344.01,351.83,345.59
2017-08-19 22:11:53.133000,L8,411.36,323.78,324.51,292.89,308.73,307.89,309.76,320.79,317.58,270.15,288.70,316.95,308.02,308.76,316.92,317.04,297.81,331.66,364.91,312.27,316.55,321.33,318.48,311.59,313.50,,,,
2018-01-10 22:11:54.118000,L8,412.82,379.85,319.91,311.82,301.73,303.39,305.33,276.92,303.23,271.34,289.04,317.66,300.66,301.82,318.56,311.27,310.45,309.94,312.48,308.20,312.76,316.81,317.39,312.31,313.30,311.80,308.72,312.27,320.41
2018-01-26 22:11:45.215000,L8,396.84,331.84,323.03,309.68,302.43,304.55,309.75,277.98,292.98,272.68,289.06,315.80,303.65,302.77,315.04,310.89,311.56,311.70,315.36,309.08,314.12,317.53,319.48,311.92,315.22,311.19,307.94,313.70,321.45
2018-04-16 22:11:06.667000,L8,363.07,363.75,318.32,262.51,256.94,239.37,246.36,263.61,272.91,273.14,291.86,325.40,314.52,317.15,322.17,320.77,318.04,314.80,315.48,312.77,317.55,321.02,330.41,315.39,318.58,314.39,314.61,319.39,330.91
2018-05-02 22:10:57.873000,L8,486.80,475.03,526.87,440.37,529.53,429.32,540.03,510.43,469.56,,496.97,433.26,526.47,516.52,522.95,530.84,536.49,525.81,,,541.85,504.34,508.93,515.44,369.61,380.07,393.11,177.51,413.34
2018-07-05 22:10:54.795000,L8,249.26,335.48,324.45,313.57,306.55,307.60,310.53,316.93,321.44,275.79,290.08,316.78,306.01,313.89,317.14,312.20,310.36,310.09,312.89,309.39,318.00,320.64,323.25,315.73,319.83,316.18,314.66,318.09,326.49
2018-08-06 22:11:10.291000,L8,379.61,333.34,331.16,312.73,307.36,305.61,310.34,315.46,322.12,276.13,289.21,317.13,307.70,311.93,316.57,311.24,308.87,308.62,310.57,305.45,316.29,321.33,332.82,313.90,320.92,316.76,313.08,198.62,325.90
2018-09-07 22:11:24.397000,L8,430.31,462.43,329.52,313.66,308.21,304.92,311.68,313.52,322.09,273.19,289.54,317.66,309.73,307.88,316.81,311.61,309.74,307.79,311.26,306.20,314.21,321.60,325.24,313.45,320.64,313.95,309.79,318.53,324.65
2018-10-25 22:11:42.546000,L8,339.29,370.62,529.81,312.96,311.31,308.51,318.29,319.64,325.24,282.52,293.72,321.12,316.86,317.29,333.80,318.30,314.13,339.69,195.64,,,,,,358.87,345.79,325.72,276.19,232.89
2019-02-14 22:11:33.473000,L8,393.03,337.99,327.61,317.97,308.72,308.23,310.35,314.95,322.33,283.13,290.83,322.42,313.40,324.12,319.37,310.23,311.67,310.92,313.16,309.28,318.62,321.58,320.17,320.52,320.30,315.00,311.87,309.19,298.57
2019-03-02 22:11:29.304000,L8,399.68,338.15,330.08,315.72,306.64,305.72,311.48,315.23,321.49,276.77,290.98,318.27,307.88,320.82,315.98,308.19,309.04,310.61,312.58,305.77,314.76,319.39,317.94,314.78,318.95,311.97,310.27,208.98,320.90
2019-05-21 22:11:27.314000,L8,,,,,178.73,228.57,191.00,212.36,254.99,,,,254.95,262.62,177.75,218.47,,,,,,,,,,,,,
