dates,satname,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
2005-04-30 21:47:03.060000,L5,284.42,250.13,224.79,236.53,327.02,288.82,230.43,171.37,,,,,,,,,,,,,,,,,,,,302.96,295.00,284.51,283.67,290.14,295.96,294.68,332.70,315.88,303.09,297.76,296.35,282.58,292.53,278.15
2005-06-08 21:53:33.007000,L5,,,,,316.00,225.96,213.94,,,,227.37,196.91,197.06,234.80,250.97,,264.34,271.12,264.10,243.34,259.52,253.43,254.91,237.66,229.74,249.51,220.61,177.69,213.63,,271.50,289.31,297.77,,,,,,,,,
2005-07-19 21:47:39.248000,L5,,,,,,,,,,,232.19,225.13,249.45,,,,,,,,268.22,253.62,254.77,241.96,236.68,255.05,293.84,227.06,261.46,270.86,273.75,287.04,288.96,264.91,254.19,,,,,,,
2005-10-30 21:54:03.531000,L5,371.60,330.36,336.29,320.42,344.71,314.73,292.19,282.72,283.41,280.62,278.83,279.87,292.43,297.96,316.04,293.17,290.96,284.92,288.37,289.43,287.83,282.27,280.65,273.79,258.74,279.75,339.88,354.50,341.69,339.50,333.39,338.46,341.57,334.60,349.73,329.95,323.26,316.81,314.64,329.91,323.71,326.96
2005-11-15 21:54:26.309000,L5,291.96,277.35,211.85,236.78,322.71,290.01,258.46,271.93,272.28,256.06,255.29,261.40,274.57,280.65,277.27,206.22,266.97,271.00,270.72,273.06,270.06,265.45,263.86,251.27,246.41,282.07,315.83,334.54,318.36,316.53,305.33,305.55,294.75,,313.68,309.15,298.16,173.07,314.30,306.05,306.91,308.90
2005-11-24 21:48:28.120000,L5,,277.38,230.19,241.95,325.14,282.34,248.49,261.87,243.53,205.20,235.29,240.58,258.83,258.78,268.38,,226.99,269.33,258.21,263.44,262.41,253.96,258.52,241.88,236.80,256.89,297.18,311.99,289.80,297.48,299.00,301.92,313.66,269.47,266.20,290.63,283.04,289.70,291.23,197.22,281.10,290.87
2006-02-12 21:50:20.287000,L5,283.98,263.09,218.41,238.07,168.01,,,,,249.17,254.63,262.58,270.59,249.04,198.43,181.05,278.43,286.37,284.90,286.37,284.22,277.22,278.61,268.06,253.99,281.35,309.11,327.44,318.78,313.63,309.88,305.17,,,344.17,326.65,321.46,317.78,309.92,309.13,302.61,303.91
2006-02-28 21:50:40.410000,L5,271.92,248.90,211.53,224.40,319.13,276.98,253.53,266.35,240.20,229.95,230.32,233.69,255.97,264.07,266.63,,258.72,269.26,262.78,264.95,265.54,258.13,259.43,247.34,241.67,261.72,295.64,306.78,290.09,286.92,283.41,291.07,292.96,272.75,310.54,313.94,284.50,293.85,291.78,221.38,280.16,284.18
2006-04-08 21:57:36.601000,L5,,,,,,218.45,225.39,252.90,190.51,,,200.31,245.61,252.45,,,220.43,261.01,248.11,251.50,246.35,249.17,249.35,178.81,221.59,239.24,235.80,201.81,266.56,271.01,260.48,279.64,285.04,258.28,238.56,289.89,239.48,280.52,284.25,,,
2006-06-27 21:58:48.654000,L5,,,,,319.31,263.16,209.39,,,,229.31,193.95,251.19,260.65,,,265.26,272.32,262.14,262.60,266.93,261.56,256.12,244.22,238.36,257.83,287.36,201.67,267.41,273.08,270.89,289.61,298.60,264.32,232.03,,284.90,291.75,286.40,,,
2006-07-06 21:52:45.642000,L5,209.82,266.41,222.67,249.81,326.68,298.17,257.04,269.96,255.35,239.42,238.08,248.80,263.58,274.33,279.30,,,,,256.49,269.75,267.02,263.72,,,182.78,,,,,,283.03,298.54,285.65,252.65,297.27,292.44,304.17,298.91,295.22,286.86,286.57
2006-07-13 21:59:02.335000,L5,,,,,318.16,272.86,223.05,267.08,249.12,,235.55,238.67,258.80,264.14,246.91,,273.83,275.90,263.60,265.16,267.24,262.88,262.75,249.49,240.41,261.71,236.93,175.32,282.50,276.66,279.66,292.94,297.50,263.39,224.02,,,297.07,286.34,,,
2006-08-07 21:53:11.255000,L5,,262.17,215.68,234.20,319.64,278.60,235.27,263.42,249.69,220.65,229.40,234.63,249.09,262.73,264.36,,266.75,268.00,264.59,264.27,262.70,256.22,259.83,246.29,240.70,259.87,243.00,227.36,292.74,281.55,271.39,298.62,297.62,278.67,245.01,311.10,302.28,296.12,297.65,,,
2006-08-23 21:53:23.469000,L5,,245.57,214.34,225.63,319.07,280.20,222.19,264.88,240.49,,225.13,228.13,247.70,259.65,249.16,,265.02,269.40,258.86,262.23,260.71,256.00,259.46,245.58,239.19,258.80,289.61,298.68,289.58,280.72,279.37,287.26,293.22,285.18,251.22,309.45,301.49,287.56,291.92,,,
2006-10-10 21:53:56.892000,L5,307.31,273.57,228.46,238.97,320.67,292.23,256.59,269.26,252.61,239.44,242.76,240.71,261.10,264.60,268.19,195.58,263.92,267.98,259.44,268.92,261.20,257.34,260.64,236.87,236.52,260.49,303.66,311.53,304.78,297.92,294.16,302.08,305.38,303.82,332.82,314.71,313.77,303.06,297.09,281.98,292.88,289.28
2006-11-27 21:54:23.315000,L5,,,,,,,,,,186.38,197.93,203.59,222.25,,,162.97,229.02,245.21,246.42,250.99,249.51,250.02,236.78,218.34,212.58,223.99,256.22,269.16,250.78,252.73,248.68,246.01,264.39,269.34,200.48,278.05,271.39,261.68,262.17,,,
