dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0018,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0033
2017-08-01 22:26:08.551000,L8,314.89,311.82,324.72,335.05,363.55,370.04,173.59,168.62,239.91,241.88,261.12,257.73,223.47,242.11,237.24,229.89,191.96,339.46,,,346.78,366.95,369.72,361.92,370.52,349.29,316.86,337.52,347.47,352.37,364.22,363.55,362.31,356.97,364.03,354.30,349.21
2017-09-02 22:26:16.853000,L8,,,,,,,,,,163.69,184.92,220.34,211.16,201.99,203.15,183.78,175.00,,,,,,,,,,,,,,154.42,310.00,,,,,
2017-09-18 22:26:19.014000,L8,301.28,295.38,306.76,313.86,324.66,334.62,335.61,332.21,310.38,332.69,334.20,331.61,326.53,328.67,328.08,307.21,295.21,330.79,341.06,,,,,,,320.92,313.61,306.38,300.14,,157.59,328.25,327.77,,325.37,326.20,
2017-11-05 22:26:27.533000,L8,288.80,227.64,239.16,314.67,317.82,321.26,333.32,340.34,335.31,310.18,308.67,253.24,223.30,236.09,233.77,229.32,184.70,350.01,,,,,,,,311.52,,,,,160.54,302.91,,319.92,314.85,309.32,
2017-11-30 22:20:08.264000,L8,229.18,230.43,243.72,252.35,260.60,259.72,242.21,251.94,234.77,242.66,266.68,259.06,222.27,233.55,232.16,234.25,185.66,,,,,,,,,,,,,,,,,,,,
2017-12-16 22:20:10.471000,L8,,,228.22,241.84,257.03,253.73,233.33,238.06,225.58,220.37,257.37,331.19,327.86,339.23,211.31,204.91,185.70,,,,,,,,,296.44,,,,,,,,,284.75,298.54,
2018-02-02 22:19:51.630000,L8,315.49,232.21,246.40,343.23,315.53,352.55,305.86,306.36,336.49,333.31,339.49,332.74,337.44,336.86,296.24,334.36,340.50,341.16,298.05,,,,,,,299.98,307.29,317.54,325.00,344.83,165.65,320.28,340.63,,,,329.81
2018-02-25 22:25:54.146000,L8,320.54,320.34,330.43,307.56,363.51,345.74,349.62,333.73,340.64,338.15,335.73,350.17,225.26,237.55,234.28,256.51,237.06,237.73,,361.82,364.21,355.97,338.39,342.22,329.02,312.32,305.10,315.08,334.95,343.61,354.19,321.27,252.69,333.04,314.12,306.32,344.16
2018-03-06 22:19:38.520000,L8,223.10,229.72,336.78,352.86,363.05,357.91,353.10,323.83,231.63,243.84,262.97,253.28,221.53,235.46,230.47,242.01,187.26,413.50,381.30,370.08,361.85,,,338.17,307.28,283.14,316.00,328.40,329.58,338.66,362.22,365.80,376.83,325.84,300.89,312.56,336.72
2018-04-30 22:25:20.430000,L8,,,,234.99,249.09,241.79,222.01,222.57,209.22,203.30,243.04,218.77,209.61,221.43,213.70,193.62,179.96,,,,,,,,,,,,,,,304.24,,,,,
2018-05-16 22:25:09.912000,L8,313.05,314.66,280.69,311.91,333.70,258.38,240.31,240.98,233.63,229.49,254.84,229.88,219.00,229.31,229.10,201.43,192.93,,,,340.23,332.85,318.04,322.18,317.70,289.20,306.69,292.07,290.94,328.88,321.25,336.40,,288.57,303.33,307.41,261.14
2018-06-01 22:24:57.602000,L8,324.47,310.09,246.02,176.21,266.98,261.99,244.45,248.39,246.45,232.97,259.79,228.09,220.82,232.76,230.47,218.69,188.13,344.44,352.65,356.68,357.52,362.46,333.65,337.79,333.77,,,,,,317.82,299.78,361.58,310.62,331.53,319.86,
2018-06-26 22:19:00.588000,L8,,302.01,312.60,324.27,267.16,259.49,241.30,247.24,236.14,237.55,254.40,251.49,216.68,230.38,226.78,199.57,190.14,344.50,351.19,352.96,,,325.55,324.83,272.60,319.57,291.04,305.15,,314.32,315.55,328.55,345.07,311.33,310.33,320.01,
2018-07-28 22:19:15.360000,L8,332.96,360.02,382.86,349.93,369.99,374.14,375.68,379.02,381.14,378.90,378.08,372.11,372.13,353.01,353.99,370.66,215.30,222.89,294.87,311.06,297.44,269.20,262.02,230.55,214.97,231.27,252.67,246.26,241.02,225.96,271.91,350.83,298.14,219.66,208.03,221.13,234.00
2018-08-20 22:25:39.037000,L8,319.41,237.37,245.90,260.45,268.28,260.48,233.52,249.95,232.63,333.03,335.21,334.12,338.97,340.02,331.99,333.93,330.27,347.07,335.20,350.35,353.76,346.61,338.63,332.02,327.19,319.45,324.01,310.35,305.75,282.23,,330.67,307.59,303.79,310.86,311.22,290.89
