dates,satname,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006
2022-01-22 22:05:54.259000,L9,295.73,314.64,281.43,301.05,310.12,297.27,300.64,,,,
2022-01-22 22:06:18.213000,L9,286.20,310.16,225.78,287.42,302.13,254.05,289.49,,,,
2022-01-29 22:12:05.530000,L9,285.87,185.81,226.68,,292.53,214.73,290.12,,,,
2022-02-14 22:12:01.049000,L9,237.52,177.54,225.19,,290.68,207.26,226.70,,,,
2022-02-15 22:06:06.152000,L8,286.05,307.40,226.70,288.23,307.17,288.01,289.92,,,,
2022-02-22 22:11:50.626000,L8,214.09,302.89,207.52,277.10,293.73,233.09,,,,,
2022-02-23 22:06:08.091000,L9,287.23,311.64,278.64,300.72,306.22,295.33,294.93,,,,269.15
2022-03-02 22:11:50.022000,L9,292.23,312.97,284.36,335.80,313.09,293.98,297.86,332.49,322.97,,
2022-03-02 22:12:13.972000,L9,207.64,177.63,,,300.71,196.06,227.40,,,,
2022-03-27 22:05:58.509000,L9,284.69,307.30,227.73,284.75,295.13,251.20,286.34,,,,
2022-05-05 22:11:31.114000,L9,,303.61,,,,,,,,,
2022-05-06 22:05:29.729000,L8,243.82,314.76,281.25,286.68,308.24,288.27,243.73,,,,
2022-05-06 22:05:53.688000,L8,209.37,308.39,,,296.85,238.23,,,,,
2022-08-02 22:06:07.308000,L9,,307.59,,,,,,,,,
2022-08-10 22:06:08.294000,L8,,302.16,,,,,,,,,
2022-08-10 22:06:32.253000,L8,,301.22,,,,,,,,,
2022-10-21 22:06:05.581000,L9,275.31,179.28,,290.18,301.63,285.80,,,,,
2022-10-21 22:06:29.540000,L9,277.25,307.11,,301.05,303.18,287.50,,,,,
2022-12-24 22:06:26.081000,L9,232.09,313.16,199.80,,298.25,245.40,201.16,,,,
2023-01-16 22:12:10.212000,L9,,302.74,,,,,,,,,
2023-01-17 22:06:18.381000,L8,284.15,309.61,285.39,305.40,289.27,296.10,291.24,,,,267.42
2023-02-17 22:12:13.542000,L9,,184.98,,,,,,,,,
2023-02-18 22:06:13.995000,L8,281.81,312.97,288.49,303.84,303.86,294.79,284.20,,,,270.65
2023-02-25 22:11:52.258000,L8,283.94,315.42,223.44,302.02,305.59,293.43,287.39,,,,258.61
2023-03-05 22:12:01.427000,L9,,310.56,279.27,,,,,,,,
2023-03-06 22:06:02.229000,L8,291.95,283.71,288.27,314.31,307.69,294.14,305.06,,,,224.71
2023-03-13 22:11:47.152000,L8,290.53,315.72,268.17,299.98,307.51,291.88,293.79,,,,
2023-03-14 22:05:47.276000,L9,278.14,311.48,224.64,284.22,299.76,287.87,241.07,,,,
2023-03-14 22:06:11.235000,L9,289.85,316.00,287.76,297.40,308.13,294.94,295.15,,,,279.81
2023-03-21 22:11:55.188000,L9,206.12,311.81,,285.13,287.42,250.29,,,,,
2023-03-21 22:12:19.147000,L9,274.11,,,286.75,280.02,289.57,274.52,,,,
2023-03-29 22:11:37.049000,L8,,307.93,,,,,,,,,
2023-03-30 22:05:59.281000,L9,241.78,306.07,273.51,283.05,289.25,258.75,239.30,,,,
