dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
2003-07-30 21:37:21.273000,L5,351.22,365.03,362.59,364.26,358.79,359.94,358.03,358.95,363.78,360.14,351.39,358.27,362.00,357.78,357.09,364.95,364.37,372.88,368.04,371.47,362.29,364.39,373.96
2003-08-15 21:37:36.307000,L5,335.83,347.70,365.21,360.27,344.77,347.99,341.67,347.53,344.29,353.95,348.07,360.02,362.57,355.06,351.84,359.20,364.34,364.27,359.72,357.28,348.99,353.77,363.94
2003-08-24 21:32:00.647000,L5,336.48,360.55,394.25,384.11,377.45,388.63,383.69,366.12,365.99,374.55,394.74,415.12,449.28,436.37,409.32,482.15,432.67,431.09,426.08,396.13,401.55,427.54,431.77
2003-10-18 21:38:36.209000,L5,372.70,378.27,376.57,389.14,395.64,378.07,372.08,389.91,389.78,381.60,381.51,385.07,394.42,387.59,382.48,374.09,374.72,379.17,372.06,371.05,368.15,389.64,392.70
2003-10-18 21:39:00.182000,L5,,,,,,,,,,339.28,331.93,339.26,347.32,333.17,303.67,305.54,325.07,292.29,267.32,325.59,322.24,348.21,359.62
2003-11-19 21:39:26.321000,L5,,,,,,,,,,,,,,,,,,,345.77,352.79,347.98,351.91,359.99
2003-11-28 21:33:21.973000,L5,338.52,345.37,366.70,373.85,369.02,360.60,362.10,370.48,372.76,373.90,362.85,368.48,377.12,364.45,358.16,363.51,366.48,369.00,366.72,365.01,366.54,373.05,377.87
2003-12-14 21:33:26.453000,L5,344.37,360.85,379.94,386.52,374.16,365.67,366.46,378.22,384.74,380.97,375.31,375.58,379.37,379.92,371.44,367.17,376.71,377.25,378.56,371.35,374.06,376.14,387.13
2003-12-30 21:33:36.470000,L5,363.33,375.50,497.96,517.80,501.95,461.04,474.78,461.50,458.85,468.02,457.21,454.65,390.16,387.57,385.47,388.88,387.19,391.56,393.26,384.91,374.59,381.61,381.35
2004-02-23 21:39:37.913000,L5,347.86,359.19,413.42,455.96,400.92,448.88,461.15,492.16,487.16,497.49,502.27,507.28,466.95,430.99,377.43,362.67,372.81,376.58,384.53,372.31,373.32,384.40,393.56
2004-03-19 21:33:59.073000,L5,350.58,339.19,362.72,387.06,396.73,390.40,407.12,397.82,402.93,414.95,399.88,385.50,387.86,389.74,404.46,477.87,410.75,427.62,416.16,389.08,378.92,386.14,405.07
2004-04-20 21:34:43.076000,L5,341.83,331.16,347.65,359.05,366.64,370.27,379.90,378.66,375.48,377.40,376.86,371.78,376.81,361.50,357.73,361.86,368.68,374.96,366.35,376.10,370.55,370.37,381.31
2004-06-23 21:36:34.771000,L5,338.21,336.88,353.33,356.62,357.06,360.39,360.82,358.33,370.75,369.73,357.53,364.87,366.47,361.64,359.05,358.53,370.35,372.81,363.40,367.44,363.09,365.42,371.44
2004-07-25 21:37:25.800000,L5,180.69,159.80,164.58,167.34,195.26,223.59,248.63,285.22,256.98,301.73,289.51,303.08,313.36,278.81,244.59,214.44,213.59,230.65,235.61,306.60,301.52,316.19,315.63
2004-08-26 21:38:11.507000,L5,348.47,342.03,367.34,381.31,384.65,379.45,374.31,383.06,407.53,424.84,397.24,382.64,374.28,369.41,375.34,385.50,379.44,384.45,380.64,372.90,370.36,366.70,379.39
2004-09-18 21:44:34.791000,L5,441.34,462.82,374.59,469.39,455.52,458.62,445.03,430.71,491.03,427.39,428.26,398.75,402.58,381.33,374.27,387.74,387.96,453.39,494.23,393.39,384.92,384.83,391.32
2004-10-13 21:39:20.914000,L5,,,,,177.35,209.32,239.85,261.87,246.35,251.91,221.27,280.26,236.65,195.76,188.01,,,,,,,,
2004-10-20 21:45:16.509000,L5,359.93,348.45,354.03,369.28,372.61,373.07,382.13,417.71,426.82,453.73,419.16,389.75,387.36,379.83,372.52,370.15,371.11,386.96,376.22,375.44,370.05,377.41,389.91
2004-11-30 21:40:15.914000,L5,344.95,351.50,372.54,386.62,381.24,372.06,380.22,397.61,384.15,388.62,390.79,385.22,380.42,376.90,366.79,373.34,376.50,391.15,379.31,382.73,373.07,378.40,381.35
2004-12-16 21:40:34.991000,L5,,,470.39,438.74,401.19,383.83,386.53,394.13,392.76,391.45,382.90,385.47,378.79,369.99,365.83,373.74,378.12,386.15,381.36,381.63,375.38,374.41,379.31
2005-01-17 21:41:01.708000,L5,311.80,312.69,325.07,334.45,340.80,344.27,338.61,342.94,344.76,355.91,354.86,360.08,365.94,360.65,351.87,356.63,360.58,360.85,357.83,359.56,354.18,353.68,366.64
2005-02-09 21:47:31.401000,L5,,,,,,,,,,,,,,,,,,,,403.92,397.12,394.89,402.34
2005-02-18 21:41:30.252000,L5,324.50,318.26,338.77,352.89,350.11,354.84,352.78,364.90,360.62,361.96,352.62,363.70,367.23,362.51,361.49,363.68,366.00,372.74,363.32,365.73,358.30,369.42,374.75
2005-03-06 21:41:43.946000,L5,333.49,327.50,350.36,358.36,356.74,358.00,358.10,362.12,363.78,372.28,362.95,368.97,375.00,370.08,368.10,373.50,371.17,380.12,368.80,370.85,361.11,367.87,374.30
2005-04-30 21:48:14.979000,L5,,,,,,,335.72,343.28,350.97,357.69,350.86,351.45,352.63,349.13,345.74,338.71,347.99,347.16,337.55,278.19,194.73,274.03,349.24
2005-05-09 21:42:07.981000,L5,388.95,384.53,385.22,396.60,499.21,444.53,462.78,450.17,414.40,486.36,451.44,440.88,398.79,385.16,383.24,386.94,379.21,416.05,430.11,386.49,372.78,380.99,384.19
2005-05-25 21:42:16.127000,L5,394.27,409.19,392.24,400.42,409.98,428.42,443.67,464.43,433.40,416.76,414.69,447.02,400.53,396.61,374.74,376.47,378.93,398.09,403.84,385.99,371.31,378.02,385.35
