dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2005-04-21 21:52:46.920000,L5,312.81,295.73,292.58,295.63,292.45,283.64,288.90,287.42,286.25,278.12,289.85,294.92,252.50,249.12,281.93
2005-05-23 21:53:00.685000,L5,317.97,312.38,299.38,304.19,296.53,293.96,295.10,295.24,296.60,290.16,291.77,301.05,251.79,266.54,257.97
2005-06-08 21:53:09.034000,L5,257.72,269.05,207.61,267.49,269.61,248.45,224.53,247.53,267.36,210.65,235.10,,,,
2005-06-08 21:53:33.007000,L5,285.96,282.67,262.29,282.19,282.96,266.15,259.62,265.36,278.58,258.68,260.96,267.55,219.86,210.49,
2006-02-19 21:56:15.936000,L5,334.52,323.64,322.21,319.46,315.45,315.69,316.42,319.23,323.24,322.86,326.18,332.73,311.89,341.23,326.23
2006-02-19 21:56:39.909000,L5,,,,,,,,206.91,258.71,226.92,238.56,253.30,,,
2006-04-08 21:57:12.628000,L5,265.95,248.12,211.67,255.52,258.98,253.89,244.70,251.20,261.06,246.60,244.25,254.44,199.55,,
2006-04-08 21:57:36.601000,L5,265.28,246.59,206.67,251.47,258.24,252.82,242.41,248.24,259.76,244.94,242.30,251.58,197.99,,
2006-06-27 21:58:24.681000,L5,312.82,309.52,300.93,304.35,299.79,289.65,295.30,297.94,295.41,288.83,285.94,294.35,253.28,247.84,
2006-06-27 21:58:48.654000,L5,360.93,330.92,337.39,329.03,327.31,324.77,321.49,324.92,326.98,317.07,316.63,315.74,306.59,331.99,330.12
2006-07-13 21:58:38.362000,L5,270.83,268.12,247.71,260.42,271.91,253.15,231.54,250.39,264.59,250.21,256.12,,,,
2006-07-13 21:59:02.335000,L5,274.38,271.85,254.59,265.78,274.68,255.83,235.94,255.66,267.11,254.18,259.66,263.43,209.00,,
