dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
2001-10-20 21:48:09.707000,L7,,,,,199.60,261.56,261.97,275.44,272.02,279.99,287.48,288.39,296.19,306.34,298.91,292.84,296.42,289.61,292.25,292.67,294.27,293.83,297.62,296.38,300.22,295.96,291.03,307.12,311.33,310.34,317.51,307.30,299.67,304.00,295.50,284.24,283.87,281.87,287.12,289.24,280.79,205.83,,256.28,243.25,209.22,284.61,270.38,268.88,266.83,273.11,259.71,224.54,217.28,238.99,243.31,254.00,249.02,,
2002-01-24 21:48:42.967000,L7,377.24,388.28,392.79,406.39,397.29,381.62,380.85,392.81,407.35,382.87,403.10,428.39,419.29,426.52,432.58,428.01,436.25,431.57,437.01,430.23,396.68,396.98,406.23,405.29,396.93,393.39,410.90,432.16,441.97,451.47,450.22,441.67,426.43,421.01,401.77,385.22,392.98,402.19,406.94,411.42,396.68,376.92,376.45,372.42,402.11,520.55,560.43,550.36,414.22,414.62,383.04,521.18,453.70,452.54,,,,,,
2002-02-02 21:42:30.783000,L7,,,,,404.15,455.43,419.02,399.52,401.65,406.24,407.36,405.36,415.14,415.02,420.12,419.80,405.23,398.93,397.38,405.07,401.87,402.73,403.63,405.23,392.75,409.57,406.88,399.88,408.04,410.49,404.22,413.48,400.13,395.23,401.38,393.85,377.79,373.14,376.98,376.13,383.64,374.44,368.61,365.38,362.82,384.93,387.72,371.85,367.60,373.07,381.24,385.31,369.74,360.49,362.21,375.17,392.00,412.03,410.87,411.32
2002-02-09 21:48:45.674000,L7,404.72,401.07,402.91,405.89,414.30,403.52,406.97,420.24,422.65,424.77,433.91,434.97,443.56,450.17,441.16,437.01,436.55,437.01,440.63,434.15,448.26,439.63,446.79,458.14,449.17,453.05,443.98,441.37,446.44,444.23,451.78,442.43,451.48,433.90,427.97,435.09,442.00,418.67,410.13,411.22,397.62,382.59,379.58,396.66,387.59,409.73,437.69,418.28,401.80,427.62,439.31,449.77,451.73,430.13,392.18,393.09,400.35,421.58,419.31,419.58
2002-02-18 21:42:30.251000,L7,386.43,386.17,394.31,396.73,384.96,397.31,393.81,399.81,411.19,413.33,418.61,427.52,436.74,444.92,430.45,426.85,426.18,419.55,420.05,430.84,425.36,418.43,410.78,412.61,417.25,429.26,439.64,442.79,417.45,420.07,421.28,417.87,425.70,429.21,431.83,439.33,459.25,443.95,412.51,409.71,390.93,384.09,382.85,369.26,383.45,376.98,399.79,394.39,378.42,380.92,387.57,399.99,372.02,372.68,388.22,384.16,396.99,416.28,424.32,421.99
2002-02-25 21:48:47.943000,L7,375.92,419.02,376.43,374.84,382.01,378.91,378.05,378.51,393.92,407.23,394.21,396.34,394.96,398.65,405.03,402.63,399.05,395.44,394.55,392.28,389.82,393.20,386.92,384.20,389.85,388.18,396.09,394.90,401.00,404.27,414.16,398.44,397.79,394.02,384.83,381.89,379.34,376.66,376.75,372.19,364.52,359.01,360.48,361.56,359.24,370.00,379.11,369.82,367.27,367.71,379.80,383.42,364.01,360.56,364.65,396.21,401.10,413.29,425.46,448.44
2002-03-22 21:42:28.269000,L7,348.10,340.23,315.38,317.64,315.45,320.78,319.36,334.30,335.50,339.18,336.39,345.54,352.01,352.06,348.95,349.78,352.71,342.80,339.92,346.88,347.12,347.92,350.40,343.64,348.91,355.86,353.76,352.01,356.52,355.74,361.57,357.56,351.05,350.03,347.02,343.37,342.54,336.83,338.23,327.94,294.28,313.33,224.26,289.92,297.85,317.16,341.87,330.84,335.20,336.56,346.46,343.67,336.68,321.17,313.01,342.75,340.42,379.14,379.30,385.39
2002-04-07 21:42:28.931000,L7,339.67,348.10,314.37,302.17,304.23,304.92,303.80,310.51,314.11,318.80,326.02,334.65,330.42,339.09,339.74,341.85,336.39,331.61,333.93,330.04,330.92,332.65,330.06,335.66,338.29,340.32,340.60,342.76,346.62,345.12,348.39,340.20,337.95,334.46,338.83,329.99,330.09,330.08,324.04,321.42,315.55,283.35,218.81,283.59,284.57,301.19,331.56,322.23,323.79,319.35,328.62,337.74,337.90,311.60,292.40,295.68,293.95,349.94,349.59,283.62
2002-04-14 21:48:38.601000,L7,341.79,343.28,314.88,314.16,313.13,318.32,321.55,362.65,362.90,384.18,336.77,347.98,356.10,360.32,371.01,375.70,353.87,377.57,350.98,344.15,378.64,350.66,339.00,341.75,355.43,351.70,348.84,359.97,389.57,382.01,368.91,356.24,363.11,379.85,371.39,367.92,363.92,370.93,354.61,331.58,324.20,300.90,211.53,287.11,299.74,307.92,348.77,331.91,329.23,330.98,339.17,342.06,339.53,325.62,311.65,341.60,339.89,368.97,372.56,381.48
2002-05-16 21:48:34.178000,L7,351.39,347.00,314.86,302.94,304.28,313.60,313.42,315.68,315.66,321.80,330.07,340.89,339.64,355.85,335.98,347.02,341.70,337.34,342.99,337.83,344.91,339.99,337.46,348.25,349.17,352.05,350.19,348.88,356.55,353.03,364.94,358.89,352.61,351.28,347.24,343.30,340.63,339.12,330.40,334.89,321.65,314.39,211.66,284.67,287.52,293.33,336.44,329.14,329.35,326.97,333.36,345.33,329.73,316.66,287.03,294.06,281.68,351.54,346.70,361.02
2002-06-01 21:48:28.245000,L7,354.73,357.64,326.13,337.01,319.14,315.03,317.78,326.25,325.36,336.74,339.65,343.50,344.02,349.84,348.96,351.65,347.04,345.21,340.54,341.78,343.39,340.09,343.54,349.20,347.96,355.77,349.22,353.06,353.72,364.59,360.97,358.61,357.58,359.54,354.25,345.03,344.02,348.46,336.52,337.30,330.64,290.74,206.72,284.55,284.03,289.59,342.14,331.90,337.30,339.65,343.15,342.39,331.80,311.27,298.22,292.69,290.18,351.49,355.97,367.71
2002-07-19 21:48:09.583000,L7,350.49,352.03,318.40,300.74,316.01,316.00,317.37,322.85,330.18,328.20,334.80,342.38,343.32,355.75,352.35,348.50,348.21,341.91,339.50,340.48,351.05,349.66,345.60,342.29,338.15,342.15,351.36,346.48,381.22,357.54,360.27,349.62,340.64,388.53,393.49,349.83,353.17,386.82,389.75,379.05,372.70,328.18,218.05,287.53,284.19,259.99,322.85,320.37,320.89,334.35,340.05,371.24,353.90,332.97,324.53,312.08,334.30,371.72,374.10,379.15
2002-08-20 21:47:58.545000,L7,334.46,335.90,308.82,302.84,312.25,311.83,318.35,326.84,326.44,335.34,332.99,338.43,342.71,352.99,346.66,348.46,349.58,340.15,341.36,343.72,345.81,349.80,346.20,344.64,350.21,347.68,349.33,353.17,358.62,356.14,360.27,359.40,358.62,359.44,350.13,349.55,350.41,351.79,347.48,344.45,331.98,314.85,205.18,285.92,276.15,244.27,336.57,324.06,319.84,302.62,326.63,345.57,334.70,243.94,261.31,275.36,275.98,354.14,363.87,371.16
2002-08-29 21:41:39.340000,L7,388.57,378.33,371.44,382.60,388.00,391.01,421.19,395.90,409.71,415.17,415.37,419.08,428.24,430.41,430.17,418.18,419.04,411.54,409.91,428.01,410.16,411.46,407.01,418.99,423.48,418.61,420.68,413.37,421.22,417.83,423.90,437.85,411.94,421.22,411.52,409.44,416.56,399.04,401.09,395.24,396.66,381.80,383.32,380.65,386.28,389.07,397.53,392.22,381.99,384.34,395.84,409.95,392.69,376.62,379.31,383.63,395.77,417.36,416.90,418.63
2002-09-14 21:41:31.043000,L7,331.79,328.86,303.95,306.23,311.72,315.53,314.03,322.93,326.54,340.38,337.77,345.58,348.82,355.71,357.97,352.64,349.03,346.63,342.86,338.13,338.31,341.55,340.81,336.62,335.43,329.68,325.61,332.37,338.40,348.00,344.23,345.55,359.72,366.29,364.94,354.46,354.36,371.71,406.81,468.70,502.32,554.74,554.39,383.54,362.50,327.65,349.83,337.28,338.33,395.31,405.04,379.35,371.18,297.06,284.19,317.08,370.43,383.90,389.26,404.43
2002-10-23 21:47:39.211000,L7,401.35,389.84,412.53,391.97,400.84,400.32,432.49,416.79,405.25,402.89,422.85,434.74,447.44,449.96,445.85,438.06,432.47,430.74,423.41,435.65,448.46,435.34,416.95,413.36,434.25,436.23,446.81,446.70,477.26,450.11,465.40,447.13,432.00,427.90,421.12,420.11,421.58,415.78,419.00,414.60,401.44,384.76,377.33,378.10,381.19,384.43,403.46,402.54,412.14,418.50,432.93,425.78,401.16,395.01,389.55,414.63,411.65,426.08,425.80,423.44
