dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033
2014-05-14 22:17:08.923000,L8,305.01,299.08,282.75,289.65,277.79,275.86,275.70,268.14,273.79,327.51,331.02,287.95,327.63,315.63,319.47,316.01,329.06,324.19,343.22,301.96,300.93,472.58,384.34,284.69,302.90,299.71,286.71,283.44,277.47,291.89,268.34,255.07,497.74,481.28
2014-05-30 22:17:11.184000,L8,,,,,,,,,,,,243.07,230.09,255.26,210.83,,,,,,223.66,228.37,254.48,231.27,220.33,206.93,,,,,,,,
2014-07-01 22:17:22.417000,L8,272.23,251.71,222.40,217.53,228.55,191.80,,,,,,240.97,216.06,215.19,,,,,,,,,,,,,,,,,,,,
2014-07-17 22:17:28.260000,L8,295.03,277.78,266.39,263.26,259.66,267.68,264.90,266.13,248.62,243.50,256.94,280.21,255.62,288.50,219.96,204.43,276.61,279.65,174.93,247.47,229.70,238.35,306.82,259.22,248.91,261.29,244.66,238.97,236.69,285.43,264.53,251.95,233.43,260.28
2014-11-06 22:17:49.451000,L8,297.52,307.51,261.95,249.58,256.14,260.13,261.41,258.36,268.79,212.76,257.58,271.00,252.40,275.65,219.90,202.20,277.19,248.52,177.08,231.32,272.83,306.36,280.63,244.19,227.71,240.68,256.11,229.55,221.96,275.51,250.85,243.03,228.08,545.99
2015-01-09 22:17:38.882000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.33,225.80,201.21,232.60
2015-02-10 22:17:27.012000,L8,291.53,275.28,259.81,250.04,257.79,260.78,259.65,255.34,222.29,239.14,257.98,264.88,249.22,276.40,275.80,217.75,277.26,265.61,190.79,223.11,219.93,230.34,275.01,250.87,246.02,260.03,237.39,189.80,226.00,283.64,257.93,244.54,230.47,260.06
2015-02-26 22:17:23.009000,L8,240.71,259.59,257.38,250.51,257.66,251.50,256.17,244.21,213.72,201.47,,,,,216.03,212.04,273.85,263.33,179.41,,218.80,225.92,289.21,233.98,235.42,232.63,190.40,187.67,222.24,256.12,254.00,239.93,231.44,257.68
2015-07-04 22:17:02.361000,L8,271.96,,,,,,,,,,,245.80,223.97,185.03,204.35,,,,,,,,,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,277.48,236.93,222.57,217.44,228.49,,,,,,,242.73,219.89,231.21,203.21,,,,,,,,,,,,,,,,,,,
2015-10-08 22:17:36.852000,L8,286.33,277.12,261.05,251.58,252.35,253.78,249.63,248.72,223.27,194.69,236.73,252.08,242.18,269.74,226.10,205.80,265.09,252.54,176.09,,,,,,,,,,,,,,,
