dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
2008-10-29 21:55:24.451000,L5,300.44,229.49,199.08,180.44,,,196.25,200.27,227.02,273.05,259.39,173.18,280.19,286.85,288.57,292.49,318.52
2009-01-01 21:56:31.615000,L5,196.83,237.18,254.10,242.76,273.76,290.59,240.48,305.48,297.29,298.92,259.16,278.98,282.77,287.04,287.27,291.26,308.20
2009-02-02 21:57:22.411000,L5,280.95,262.94,274.59,231.46,267.35,287.38,285.07,299.20,251.79,299.29,261.02,178.29,282.52,287.30,287.00,303.85,310.18
2010-02-21 22:02:44.773000,L5,276.30,274.72,282.11,226.88,273.97,286.93,253.03,291.41,245.32,301.87,267.36,282.54,285.18,291.15,291.74,293.70,338.88
2010-10-28 21:55:27.339000,L5,330.40,336.28,335.11,302.57,305.71,319.06,328.17,335.70,331.60,330.30,313.04,314.88,329.25,328.98,325.89,328.68,347.00
2011-01-07 22:01:44.406000,L5,214.61,255.16,276.34,224.34,267.83,282.54,231.73,295.30,232.78,298.46,195.24,169.69,246.09,281.70,288.60,296.93,312.41
2011-03-12 22:01:43.554000,L5,214.45,265.59,286.18,226.92,265.65,285.88,266.72,298.68,222.48,295.30,231.99,,,286.55,293.31,292.01,305.85
2011-03-28 22:01:38.376000,L5,206.68,264.76,,,,,206.91,194.32,233.59,299.37,266.38,281.24,285.64,288.27,294.03,296.95,301.90
2011-04-13 22:01:34.017000,L5,217.77,257.41,286.55,228.30,273.31,281.80,244.50,307.77,226.71,301.61,217.53,,260.37,276.82,278.32,282.41,302.18
2011-09-04 22:00:27.603000,L5,,,,,276.46,291.38,296.02,309.50,287.02,304.07,238.37,173.90,284.26,284.19,289.92,287.77,303.68
2013-04-11 22:07:51.092000,L8,239.78,254.14,284.73,,282.05,304.80,302.07,278.10,291.68,304.43,,,,,,307.57,308.45
2013-05-20 22:13:50.559000,L8,203.76,254.21,275.89,,283.31,306.15,304.95,307.35,311.74,312.58,,266.75,289.52,291.65,296.05,312.03,310.34
2013-06-05 22:13:51.261000,L8,196.77,248.27,271.04,,208.50,302.01,,,310.78,226.54,,,,,,,
2013-06-21 22:13:43.313000,L8,206.51,252.00,252.44,192.20,282.73,306.19,305.49,277.02,295.31,312.40,,263.85,292.32,291.99,290.57,201.80,172.94
2013-07-07 22:13:48.209000,L8,203.91,253.79,195.89,189.24,283.52,310.28,307.80,309.79,309.31,312.98,,281.36,295.54,295.45,295.51,202.89,176.16
2013-09-09 22:13:49.699000,L8,255.15,308.14,292.84,210.65,286.73,226.63,193.17,296.97,312.00,311.47,185.80,180.40,278.19,,,307.03,308.86
2013-09-25 22:13:41.239000,L8,190.89,254.07,,185.34,255.53,264.65,244.84,,,,,283.85,293.15,293.78,293.85,230.76,272.16
2013-10-11 22:13:41.596000,L8,241.06,255.50,285.71,201.52,284.08,296.94,304.82,273.13,293.95,307.28,181.63,285.85,294.27,296.68,294.63,203.14,312.13
2013-10-27 22:13:31.854000,L8,301.65,313.36,310.18,,,,,,,,,,,,326.78,277.41,322.11
2013-11-12 22:13:32.202000,L8,203.62,253.96,271.86,,279.04,284.94,230.12,300.10,308.70,303.82,,286.00,290.30,293.47,287.20,200.96,312.95
2013-11-28 22:13:25.971000,L8,205.58,256.90,276.00,,281.41,302.99,234.53,172.88,250.25,292.08,290.08,267.89,248.01,288.30,293.99,312.58,316.93
2013-12-14 22:13:21.591000,L8,202.13,258.83,281.18,182.16,282.71,271.25,280.52,301.56,312.27,306.47,185.32,289.64,293.22,292.54,295.89,311.02,255.86
2013-12-30 22:13:13.343000,L8,312.75,311.13,292.50,218.66,283.92,311.22,300.15,308.73,313.71,312.43,291.42,290.66,292.00,290.23,295.73,287.56,309.70
2014-01-31 22:12:52.806000,L8,335.47,353.94,355.43,319.48,309.55,330.93,329.82,328.96,336.46,332.46,317.69,316.60,325.01,330.58,327.25,324.54,328.01
2014-02-16 22:12:38.819000,L8,,,,,281.52,263.13,,,,,,290.24,291.98,287.28,285.21,207.55,310.66
2014-03-20 22:12:13.789000,L8,,,,,,,,,311.18,310.26,202.52,262.96,209.59,293.59,282.67,293.98,258.33
2014-04-05 22:11:58.702000,L8,,,,,279.45,298.18,,,309.18,306.15,,291.74,295.38,288.32,279.70,205.46,308.82
2014-04-21 22:11:42.175000,L8,,,247.91,194.99,288.09,322.20,313.86,305.92,317.50,315.47,289.34,296.42,296.94,289.74,294.53,313.58,313.57
2014-05-07 22:11:26.052000,L8,,199.71,291.64,217.92,235.61,225.73,251.79,,193.33,287.61,288.94,258.16,213.15,291.30,265.56,,
2015-04-24 22:11:08.401000,L8,,,,,282.33,297.48,303.12,213.11,308.74,307.17,,284.06,291.87,288.55,280.74,238.80,310.36
2015-05-10 22:10:52.487000,L8,198.78,254.59,275.83,177.73,282.28,299.97,240.74,,312.66,307.00,,287.54,294.25,293.72,296.34,212.21,308.80
2015-06-27 22:11:10.298000,L8,,,,172.58,282.67,304.12,308.84,309.04,313.65,308.60,,286.61,292.34,199.45,,,
2015-07-29 22:11:25.856000,L8,308.17,256.55,287.80,198.43,284.84,310.03,307.30,309.03,311.85,313.38,278.00,287.05,292.21,284.49,278.11,311.20,310.33
